rownames(fixed_effects),Estimate,Est.Error,Q2.5,Q97.5
Intercept,0.5753887256057615,0.39108098726580154,-0.18512329189233837,1.3386987237455321
primeStrength0,-1.7637395516688268,0.30003905544596665,-2.362171925858787,-1.1869068245047543
primeStrength1,0.5782116608499893,0.2730409468137563,0.05469923651488672,1.1359395268846142
primeStrength2,0.018193359362301088,0.24700515067871578,-0.46901809014169765,0.4922208518584683
primeTypeNumber,-0.04269579764749085,0.2839930809008512,-0.5990666389464364,0.5287268840328683
primeTypeAdMhoc,-4.5444395193932845,0.5693349241666801,-5.733407229174856,-3.4791253851794135
primeStrength0:primeTypeNumber,0.6255788719914357,0.398171953597885,-0.14223345195212406,1.407606258015906
primeStrength1:primeTypeNumber,-0.04608223693005011,0.3681957072123963,-0.7613115183193685,0.6990563226518544
primeStrength2:primeTypeNumber,0.10314251680068984,0.3448861821325723,-0.564934416640098,0.7732486089667576
primeStrength0:primeTypeAdMhoc,1.2621765717738933,0.6466115131532305,-0.10612954452153582,2.443583035652777
primeStrength1:primeTypeAdMhoc,0.35049625097953485,0.562361336601189,-0.7758829553930561,1.4643958527698504
primeStrength2:primeTypeAdMhoc,0.8465563134295042,0.551133648723783,-0.25075751346109937,1.9357977675978113
