rownames(fixed_effects),Estimate,Est.Error,Q2.5,Q97.5
Intercept,-0.3713160135050367,0.371160067373166,-1.1002452077346179,0.34616194311932685
primeStrength0,-1.4412748376771052,0.2793407350941862,-2.0192099997674338,-0.9083674243432565
primeStrength1,0.4725300925174609,0.24079986810022277,0.003745911666445573,0.9373455306620901
primeStrength2,0.4892545301233751,0.24617235789315672,0.006846488474329115,0.9759247644146021
primeTypeNumber,-0.12969178102576825,0.30566641218094603,-0.7244992159275504,0.48449307714076123
primeTypeAdMhoc,-3.8205413685787892,0.5909806928867811,-5.058153180473288,-2.7531830130366775
primeStrength0:primeTypeNumber,0.09857308796763141,0.4075500294670901,-0.7285926198823498,0.863564839165462
primeStrength1:primeTypeNumber,-0.02190950187688478,0.37565871956666974,-0.7703433330294955,0.7132071834516238
primeStrength2:primeTypeNumber,-0.23781447627728253,0.37675211044858564,-0.9690767661919091,0.4999801233917404
primeStrength0:primeTypeAdMhoc,-0.3765071484225463,1.0833703028443933,-3.0292580271835434,1.2109080072641807
primeStrength1:primeTypeAdMhoc,0.7141704879001767,0.4713167595172037,-0.23023228234490767,1.6382843822188569
primeStrength2:primeTypeAdMhoc,0.5255394285989913,0.5249855812532397,-0.49247139151502306,1.5666995535319115
